Harper,94906310001,50000,9234567890,9876,Checkings
Benjamin,94906310002,40000,9223456789,3456,Investments
Amelia,94906310003,30000,9556789012,8765,Savings
Ethan,94906310004,77000,9776543210,4321,Checkings
Mia,94906310005,90000,9445678901,2345,Investments
Charlotte,94906310006,10000,9667890123,6789,Savings
Alexander,949063100007,60000,9887654321,5678,Checkings
James,94906310008,20000,9223456789,1234,Investments
Abigail,94906310009,70000,9334567890,4321,Savings
Michael,94906310010,20000,9556789012,8765,Checkings
Emily,94906310011,80000,9887654321,9876,Investments
Daniel,94906310012,30000,9334567890,2345,Savings
Evelyn,94906310013,50000,9998765432,8765,Checkings
Matthew,94906310014,90000,9776543210,5678,Investments
Harper,94906310015,40000,9334567890,4321,Savings
Victoria,94906310016,13000,9445678901,3456,Checkings
David,94906310017,60000,9776543210,6789,Investments
Grace,94906310018,20000,9334567890,9876,Savings
Joseph,94906310019,70000,9223456789,8765,Checkings
Scarlett,94906310020,80000,9556789012,1234,Investments
Samuel,94906310021,30000,9776543210,5678,Savings
Chloe,94906310022,50000,9887654321,8765,Checkings
Henry,94906310023,40000,9223456789,2345,Investments
Sofia,94906310024,90000,9334567890,4321,Savings
Dylan,94906310025,10000,9445678901,9876,Checkings
Lillian,94906310026,60000,9667890123,5678,Investments
Benjamin,94906310027,80000,9998765432,1234,Savings
Lucy,94906310028,20000,9776543210,3456,Checkings
Andrew,94906310029,30000,9556789012,8765,Investments
Zoe,94906310030,70000,9334567890,2345,Savings
